image_number,image_number,image,text,egyptian,Moroccan
0,0,1000268201_693b08cb0e.jpg,طفلة صغيرة تتسلق إلى مسرح خشبي,بنت صغيرة بتسلق على مسرح خشب,بنت صغيرة كتقلب لواحد مسرح ديال الخشب
1,1,1001773457_577c3a7d70.jpg,كلب أسود وكلب ثلاثي الألوان يلعبان مع بعضهما البعض على الطريق,كلب أسود وكلب تلات ألوان بيلعبوا مع بعض على الطريق,كلب أسود وكلب تلاتة ألوان كيلعبوا مع بعضهم ف الطريق
2,2,1002674143_1b742ab4b8.jpg,فتاة صغيرة مغطاة بالطلاء تجلس أمام قوس قزح,بنت صغيرة مغطية بالبوية قاعدة قدام قوس قزح,بنت صغيرة مغطية بالطلاء كتقعد قدام قوس قزح
3,3,1003163366_44323f5815.jpg,رجل يجلس على مقعد بينما يجلس كلبه بجانبه,راجل قاعد على كرسي و كلبه قاعد جنبه,راجل كيقعد على كرسي و كلب ديالو كيقعد جنبو
4,4,1007129816_e794419615.jpg,رجل يرتدي قبعة برتقالية,راجل لابس قبعة برتقالي,راجل لابس قبعة برتقالية
5,5,1007320043_627395c3d8.jpg,طفل يلعب على حبل,طفل بيلعب على حبل,وليد كيقلب على حبل
6,6,1009434119_febe49276a.jpg,كلب أبيض وأسود يركض في حديقة عشبية محاطة بسياج أبيض,كلب أبيض وأسود بيجري في حديقة عشبية محاطة بسياج أبيض,كلب أبيض وأسود كيجري ف حديقة عشبية محاطة بسياج أبيض
7,7,1012212859_01547e3f17.jpg,كلب يهز رأسه بالقرب من الشاطئ  كرة حمراء بجانبه,كلب بيحرك راسه قريب من الشاطئ و كرة حمرا جنبه,كلب كيهز راسو حدا الشاطئ و كرة حمراء جنبو
8,8,1015118661_980735411b.jpg,صبي يبتسم أمام حائط صخري في مدينة,ولد بيبتسم قدام حيط صخري في مدينة,وليد كيبسم قدام حيط صخري ف مدينة
9,9,1015584366_dfcec3c85a.jpg,كلب أسود يقفز فوق الجذع,كلب أسود بيقفز فوق جذع شجرة,كلب أسود كيتسلق فوق الجذع
10,10,101654506_8eb26cfb60.jpg,كلب أبيض وأبيض يمر عبر الثلج,كلب أبيض وأسود بيعدي في الثلج,كلب أبيض وأبيض كيمشي ف الثلج
11,11,101669240_b2d3e7f17b.jpg,رجل في القبعة يعرض صورًا بجوار أحد المتزلجين في قبعة زرقاء,راجل في قبعة بيوري صور جنب واحد بيتزلج في قبعة زرقا,راجل فالقبعة كيبين صور حدا واحد المتزلجين فالقبعة زرقاء
12,12,1016887272_03199f49c4.jpg,صور لشخص واحد يتسلق جرفًا,صور لواحد بيتسلق جبل,صور ديال واحد كيتسلق واحد الجرف
13,13,1019077836_6fc9b15408.jpg,كلب بني يطارد الماء على العشب,كلب بني بيطارد الماية على العشب,كلب بني كيطارد الماء على العشب
14,14,1019604187_d087bf9a5f.jpg,كلب يستعد للقبض على جسم في حقل مع السيارات القريبة,كلب مستعد يمسك حاجة في حتة فيها عربيات,كلب كيتحضر باش يمسك شي حاجة ف الحقل و سيارات قريبة
15,15,1020651753_06077ec457.jpg,كلب أبيض وأسود يقفز في الهواء للحصول على لعبة,كلب أبيض وأسود بيقفز في الهوا عشان يمسك لعبة,كلب أبيض وأسود كيتسلق ف الهواء باش يمسك لعبة
16,16,1022454332_6af2c1449a.jpg,طفل وامرأة على حافة المياه في مدينة كبيرة,طفل و ست في حافة الماية في مدينة كبيرة,وليد وامراة ف حافة الماء ف مدينة كبيرة
17,17,1022454428_b6b660a67b.jpg,زوجان يجلسان على العشب مع رضيع وعربة أطفال,اتنين قاعدين على العشب مع بيبي و عربية اطفال,زوج كيقعدوا على العشب مع وليد و عربية أطفال
18,18,1022975728_75515238d8.jpg,كلب يقفز في الماء,كلب بيقفز في الماية,كلب كيتسلق فالماء
19,19,102351840_323e3de834.jpg,رجل يحفر حفرة في الجليد,راجل بيحفر حفرة في الثلج,راجل كيحفر حفرة ف الثلج
20,20,1024138940_f1fefbdce1.jpg,كلاب بيضاء تلعب على الشاطئ,كلاب بيضا بتلعب على الشاطئ,كلاب بيضاء كتلعب ف الشاطئ
21,21,102455176_5f8ead62d5.jpg,رجل يتسلق الجليد,راجل بيتسلق الثلج,راجل كيتسلق ف الثلج
22,22,1026685415_0431cbf574.jpg,كلب أسود يحمل شيئًا على العشب,كلب أسود شايل حاجة على العشب,كلب أسود كيحمل شي حاجة على العشب
23,23,1028205764_7e8df9a2ea.jpg,رجل ورضيع في قوارب الكاياك الصفراء على الماء,راجل و بيبي في قوارب كاياك صفرا على الماية,راجل و وليد ف قوارب الكاياك الصفراء على الماء
