image_number,image,text,egyptian
0.0,1000268201_693b08cb0e.jpg,طفلة صغيرة تتسلق إلى مسرح خشبي,بنت صغيرة بتسلق على مسرح خشب
1.0,1001773457_577c3a7d70.jpg,كلب أسود وكلب ثلاثي الألوان يلعبان مع بعضهما البعض على الطريق,كلب أسود وكلب تلات ألوان بيلعبوا مع بعض على الطريق
2.0,1002674143_1b742ab4b8.jpg,فتاة صغيرة مغطاة بالطلاء تجلس أمام قوس قزح,بنت صغيرة مغطية بالبوية قاعدة قدام قوس قزح
3.0,1003163366_44323f5815.jpg,رجل يجلس على مقعد بينما يجلس كلبه بجانبه,راجل قاعد على كرسي و كلبه قاعد جنبه
4.0,1007129816_e794419615.jpg,رجل يرتدي قبعة برتقالية,راجل لابس قبعة برتقالي
5.0,1007320043_627395c3d8.jpg,طفل يلعب على حبل,طفل بيلعب على حبل
6.0,1009434119_febe49276a.jpg,كلب أبيض وأسود يركض في حديقة عشبية محاطة بسياج أبيض,كلب أبيض وأسود بيجري في حديقة عشبية محاطة بسياج أبيض
7.0,1012212859_01547e3f17.jpg,كلب يهز رأسه بالقرب من الشاطئ  كرة حمراء بجانبه,كلب بيحرك راسه قريب من الشاطئ و كرة حمرا جنبه
8.0,1015118661_980735411b.jpg,صبي يبتسم أمام حائط صخري في مدينة,ولد بيبتسم قدام حيط صخري في مدينة
9.0,1015584366_dfcec3c85a.jpg,كلب أسود يقفز فوق الجذع,كلب أسود بيقفز فوق جذع شجرة
10.0,101654506_8eb26cfb60.jpg,كلب أبيض وأبيض يمر عبر الثلج,كلب أبيض وأسود بيعدي في الثلج
11.0,101669240_b2d3e7f17b.jpg,رجل في القبعة يعرض صورًا بجوار أحد المتزلجين في قبعة زرقاء,راجل في قبعة بيوري صور جنب واحد بيتزلج في قبعة زرقا
12.0,1016887272_03199f49c4.jpg,صور لشخص واحد يتسلق جرفًا,صور لواحد بيتسلق جبل
13.0,1019077836_6fc9b15408.jpg,كلب بني يطارد الماء على العشب,كلب بني بيطارد الماية على العشب
14.0,1019604187_d087bf9a5f.jpg,كلب يستعد للقبض على جسم في حقل مع السيارات القريبة,كلب مستعد يمسك حاجة في حتة فيها عربيات
15.0,1020651753_06077ec457.jpg,كلب أبيض وأسود يقفز في الهواء للحصول على لعبة,كلب أبيض وأسود بيقفز في الهوا عشان يمسك لعبة
16.0,1022454332_6af2c1449a.jpg,طفل وامرأة على حافة المياه في مدينة كبيرة,طفل و ست في حافة الماية في مدينة كبيرة
17.0,1022454428_b6b660a67b.jpg,زوجان يجلسان على العشب مع رضيع وعربة أطفال,اتنين قاعدين على العشب مع بيبي و عربية اطفال
18.0,1022975728_75515238d8.jpg,كلب يقفز في الماء,كلب بيقفز في الماية
19.0,102351840_323e3de834.jpg,رجل يحفر حفرة في الجليد,راجل بيحفر حفرة في الثلج
20.0,1024138940_f1fefbdce1.jpg,كلاب بيضاء تلعب على الشاطئ,كلاب بيضا بتلعب على الشاطئ
21.0,102455176_5f8ead62d5.jpg,رجل يتسلق الجليد,راجل بيتسلق الثلج
22.0,1026685415_0431cbf574.jpg,كلب أسود يحمل شيئًا على العشب,كلب أسود شايل حاجة على العشب
23.0,1028205764_7e8df9a2ea.jpg,رجل ورضيع في قوارب الكاياك الصفراء على الماء,راجل و بيبي في قوارب كاياك صفرا على الماية
24.0,1030985833_b0902ea560.jpg,كلب أسود وكلب بني يقفزان للقبض على لعبة حمراء,كلب أسود و كلب بني بيقفزوا عشان يمسكوا لعبة حمرا
25.0,103106960_e8a41d64f8.jpg,طفل يرتدي سترة حمراء يلعب هوكي,طفل لابس جاكيت أحمر بيلعب هوكي
26.0,103195344_5d2dc613a3.jpg,رجل يجلس ويقرأ صحيفة,راجل قاعد بيقرأ جريدة
27.0,103205630_682ca7285b.jpg,يتم وضع خيمة على الجليد,بيحطوا خيمة على الثلج
28.0,1032122270_ea6f0beedb.jpg,امرأة تجثم بالقرب من ثلاثة كلاب في حقل,ست قاعدة جنب تلات كلاب في حتة فيها عشب
29.0,1032460886_4a598ed535.jpg,رجل يقف أمام ناطحة سحاب,راجل واقف قدام ناطحة سحاب
30.0,1034276567_49bb87c51c.jpg,طفل يقضم سلعة مخبوزة,طفل بياكل حاجة مخبوزة
31.0,104136873_5b5d41be75.jpg,ثلاثة أشخاص على قمة تطل على واد أخضر,تلات أشخاص على قمة بتطل على وادي أخضر
32.0,1042020065_fb3d3ba5ba.jpg,صبي في قميص أخضر يشاهد القوارب,ولد لابس قميص أخضر بيشوف القوارب
33.0,1042590306_95dea0916c.jpg,رجل وامرأة يمثلان للكاميرا بينما ينظر رجل آخر,راجل و ست بيمثلوا للكاميرا و راجل تاني بيشوف
34.0,1045521051_108ebc19be.jpg,شخص يجلس على الأرض ويأكل أمام التلفزيون,واحد قاعد على الأرض بياكل قدام التلفزيون
35.0,1048710776_bb5b0a5c7c.jpg,بضعة أشخاص يجلسون على حافة تطل على الشاطئ,كام واحد قاعدين على حافة بتطل على الشاطئ
36.0,1052358063_eae6744153.jpg,يقوم الطفل بأداء خدعة لوح التزلج بينما يميل طفل آخر يحمل لوح تزلج على الحائط,طفل بيعمل حيلة على لوح التزلج و طفل تاني ماسك لوح تزلج متكئ على الحيط
37.0,105342180_4d4a40b47f.jpg,فتاة تتجول في نهر كبير,بنت ماشية في نهر كبير
38.0,1053804096_ad278b25f1.jpg,فتاة تلعب في الأمواج,بنت بتلعب في الأمواج
39.0,1055623002_8195a43714.jpg,مجموعة من الأطفال يتعاركون بالوسادات,مجموعة أطفال بيتخانقوا بالمخاد
40.0,1055753357_4fa3d8d693.jpg,اثنين من عمال البناء يأخذون استراحة,اتنين عمال بناء بياخدوا بريك
41.0,1056249424_ef2a2e041c.jpg,يلعب الأطفال في الماء,أطفال بيلعبوا في الماية
42.0,1056338697_4f7d7ce270.jpg,امرأة شقراء في قميص أزرق تنتظر رحلة,ست شقرا لابسة قميص أزرق مستنية رحلة
43.0,1056359656_662cee0814.jpg,فتاة صغيرة تنظر في كتيب عن ركوب القطار,بنت صغيرة بتبص في كتيب عن ركوب القطار
44.0,1056873310_49c665eb22.jpg,كلب أسود يركض خلف كلب أسود على شاطئ صخري,كلب أسود بيجري ورا كلب أسود على شاطئ صخري
45.0,1057089366_ca83da0877.jpg,صبي ينزل عن لوح الغطس العالي,ولد بينزل من لوح الغطس العالي
46.0,1057210460_09c6f4c6c1.jpg,رجل يقف بجانب نافذة يخلع قميصه,راجل واقف جنب شباك بيقلع قميصه
47.0,1057251835_6ded4ada9c.jpg,كلب خفيف اللون يركض على الشاطئ,كلب فاتح اللون بيجري على الشاطئ
48.0,106490881_5a2dd9b7bd.jpg,صبي في ملابس السباحة الزرقاء على الشاطئ,ولد لابس لبس سباحة أزرق على الشاطئ
49.0,106514190_bae200f463.jpg,مسافر يقف على قمة تطل على الجبال أدناه,"مسافر واقف على قمة بتطل على الجبال 
"
50.0,1067180831_a59dc64344.jpg,كلب أبيض وأسود يقفز وراء لعبة صفراء,كلب أبيض وأسود بيقفز ورا لعبة صفرا
51.0,1067675215_7336a694d6.jpg,رجل يرتدي سراويل زرقاء اللون في الشارع,راجل لابس بنطلون أزرق في الشارع
52.0,1067790824_f3cc97239b.jpg,كلب أبيض وأسود وكلب بني في الرمل,كلب أبيض وأسود وكلب بني في الرمل
53.0,1072153132_53d2bb1b60.jpg,كلب أبيض وأسود يمسك لعبة في الجو,كلب أبيض وأسود ماسك لعبة في الجو
54.0,107318069_e9f2ef32de.jpg,حشد يشاهد بالونات الهواء في الليل,جمهور بيشوف بالونات الهوا في الليل
55.0,1075716537_62105738b4.jpg,طفل مع خوذة على رأسه يركب دراجة,طفل مع خوذة على راسه بيركب دراجة
56.0,107582366_d86f2d3347.jpg,تجمع مجموعة من الناس في الظلام,مجموعة من الناس متجمعة في الظلام
57.0,1075867198_27ca2e7efe.jpg,رجل في قميص بني وشورت غامق يلعب على الشاطئ مع اثنين من الكلاب السوداء,راجل في قميص بني وشورت غامق بيلعب على الشاطئ مع اتنين كلاب سود
58.0,1075881101_d55c46bece.jpg,صبي ينظف الفقاعات من وجهه,ولاد بيغسل الفقاعات من وشه
59.0,1077546505_a4f6c4daa9.jpg,ينزلق صبي في شورت أزرق إلى أسفل في بركة,ولاد بيلزق في شورت أزرق لتحت في بركة
60.0,1077931201_1e0bb83105.jpg,رجل في الماء يرمي صبيًا صغيرًا في الهواء وينتظر أن ينزل حتى يتمكن من الإمساك به,راجل في المية بيرمي ولاد صغير في الهوا وبيستنى ينزل عشان يمسكه
61.0,1079274291_9aaf896cc1.jpg,صبي صغير يخرج لسانه من أجل الكاميرا,ولاد صغير بيطلع لسانه للكاميرا
62.0,10815824_2997e03d76.jpg,حصان أشقر وفتاة شقراء في قميص أسود يحدقان في نار في برميل,حصان أشقر وبنت شقرا في قميص أسود بيحدقوا في نار في برميل
63.0,1082252566_8c79beef93.jpg,كلب نحيف كبير يقف بالقرب من كلبين أصغر حجما,كلب نحيف كبير واقف جنب اتنين كلاب أصغر
64.0,1082379191_ec1e53f996.jpg,سيدة ورجل بدون قميص يجلسان على منصة,ست وراجل من غير قميص قاعدين على منصة
65.0,1084040636_97d9633581.jpg,كلب أبيض كبير ملقى على الأرض,كلب أبيض كبير نايم على الأرض
66.0,1084104085_3b06223afe.jpg,امرأة في شورت أزرق وقميص أبيض تتسلق الصخور في مكان مغلق,ست في شورت أزرق وقميص أبيض بتسلق الصخور في مكان مغلق
67.0,1087168168_70280d024a.jpg,صبي يقفز في الماء,ولاد بيقفز في المية
68.0,1087539207_9f77ab3aaf.jpg,عائلة تلعب على جرار في يوم جميل,عيلة بتلعب على جرار في يوم جميل
69.0,1088767354_2acee738cf.jpg,امرأة في زي أحمر,ست في لبس أحمر
70.0,108898978_7713be88fc.jpg,رجلان يتزلجان في الثلج في منطقة حرجية,اتنين رجالة بيتزلجوا في الثلج في منطقة حرجية
71.0,108899015_bf36131a57.jpg,متسلق وحيد يشق طريقه فوق الجبل,متسلق لوحده بيشق طريقه فوق الجبل
72.0,1089181217_ee1167f7af.jpg,كلب بني يهرول في طريق ممهد,كلب بني بيجرى في طريق ممهد
73.0,1089755335_0bfbfd30e6.jpg,الأم والطفل يصطادان على الممر في الليل,الأم والطفل بيصطادوا على الممر في الليل
74.0,109202756_b97fcdc62c.jpg,امرأة ترتدي سترة زرقاء وجينز أزرق تركب حصانًا بنيًا بالقرب من بحيرة متجمدة وجبل مغطى بالثلج,ست لابسة جاكيت أزرق وجينز أزرق راكبة حصان بني جنب بحيرة متجمدة وجبل مغطى بالثلج
75.0,109202801_c6381eef15.jpg,اثنين من الخيول تسحب عربة عبر الثلج,اتنين خيول بيسحبوا عربية عبر الثلج
76.0,109260216_85b0be5378.jpg,شخص يتسلق صخرة باستخدام حبل,واحد بيتسلق صخرة باستخدام حبل
77.0,109260218_fca831f933.jpg,يقف الناس داخل قبة صخرية,ناس واقفة جوه قبة صخرية
78.0,1093716555_801aacef79.jpg,مجموعة من الرحالة تكمن على الأرض الجافة,مجموعة من الرحالة نايمة على الأرض الجافة
79.0,1093737381_b313cd49ff.jpg,امرأة ترتدي ثوبًا أزرق اللون تقف مع صورة طباشيرية لطفلين يلعبان في نهر,ست لابسة فستان أزرق واقفة مع صورة طباشيرية لولاد بيلعبوا في نهر
80.0,1094462889_f9966dafa6.jpg,كلب بني يلعب في كومة من الثلج العميقة,كلب بني بيلعب في كومة من الثلج العميقة
81.0,1095476286_87d4f8664e.jpg,صبي يقفز في نافورة,ولاد بيقفز في نافورة
82.0,1095580424_76f0aa8a3e.jpg,كلب يخرج من نفق,كلب بيخرج من نفق
83.0,1095590286_c654f7e5a9.jpg,كلب يطارد كلب آخر,كلب بيطارد كلب تاني
84.0,1095980313_3c94799968.jpg,فتاة صغيرة في ملابس السباحة الزرقاء تمشي على طول سياج خشبي بجوار شاطئ رملي,بنت صغيرة في لبس البحر الأزرق ماشية على طول سور خشبي جنب شاطئ رملي
85.0,1096097967_ac305887b4.jpg,كلب أبيض وأسود يشرب الماء,كلب أبيض وأسود بيشرب مية
86.0,1096165011_cc5eb16aa6.jpg,صبي يبتسم تحت الماء,ولاد بيبتسم تحت المية
87.0,1096395242_fc69f0ae5a.jpg,صبي مع بندقية لعبة,ولاد مع بندقية لعبة
88.0,109671650_f7bbc297fa.jpg,صبي يرتدي الأزرق والأصفر يسير على حافة منحدر,ولاد لابس أزرق وأصفر ماشي على حافة منحدر
89.0,109738763_90541ef30d.jpg,شخص على عربة الثلج في منتصف القفزة,واحد على عربة الثلج في نص القفزة
90.0,109738916_236dc456ac.jpg,الناس يركبون على عربات الثلوج,ناس راكبة على عربات الثلج
91.0,109823394_83fcb735e1.jpg,ثلاثة أشخاص يقودون مركبات رباعية الدفع,تلاتة أشخاص بيقودوا مركبات رباعية الدفع
92.0,109823395_6fb423a90f.jpg,مركبة بأربع دواليب تقفز في حقل فارغ,مركبة بأربع دواليب بتقفز في حقل فاضي
93.0,109823397_e35154645f.jpg,رجل يقفز في الهواء أثناء ركوب مركبة,راجل بيقفز في الهوا وهو راكب مركبة
94.0,1100214449_d10861e633.jpg,صبي في قميص مقلم يقفز أمام نافورة ماء,ولاد في قميص مخطط بيقفز قدام نافورة مية
95.0,1104133405_c04a00707f.jpg,صبي يحمل كرة قدم,ولاد شايل كرة قدم
96.0,1105959054_9c3a738096.jpg,طفل يرسم صورة,طفل بيرسم صورة
97.0,110595925_f3395c8bd6.jpg,يقود راكب الدراجة دراجة على طريق,راكب الدراجة بيقود دراجة على طريق
98.0,1107246521_d16a476380.jpg,كلب أسود يقفز للقبض على لعبة حبل,كلب أسود بيقفز عشان يمسك لعبة حبل
99.0,1107471216_4336c9b328.jpg,فتاة صغيرة تمسك بكاميرا سينمائية,"بنت صغيرة ماسكة كاميرا سينمائية 
"
100.0,1110208841_5bb6806afe.jpg,كلب أبيض وبني يمسك بالفريسبي في فمه أمام مجموعة من الناس,كلب أبيض وبني ماسك الفريسبي ببوقه قدام مجموعة ناس
101.0,1112212364_0c48235fc2.jpg,طفل يرص الصخور على الشاطئ,طفل بيرص الحجارة على الشط
102.0,111497985_38e9f88856.jpg,شاب يتسلق تلة صخرية,شاب بيتسلق تل صخري
103.0,111537217_082a4ba060.jpg,رجل يتسلق جدار صخري,راجل بيتسلق حيط صخري
104.0,111537222_07e56d5a30.jpg,رجل يصعد جدار صخري,راجل بيطلع حيط صخري
105.0,1115565519_d976d4b1f1.jpg,طفل يلعب مع نافورة على الشاطئ,طفل بيلعب مع نافورة على الشط
106.0,1115679311_245eff2f4b.jpg,كلب أسود يقفز فوق حائط على الشاطئ,كلب أسود بيقفز فوق حيط على الشط
107.0,111766423_4522d36e56.jpg,عصفور أبيض وأسود يأكل من يد شخص ما,عصفور أبيض وأسود بياكل من إيد حد
108.0,1117972841_2b9261f95f.jpg,كلب بني يركض في الرمال,كلب بني بيجري في الرمال
109.0,1118557877_736f339752.jpg,صبي صغير يقف في الأمواج,ولاد صغير واقف في الموجه
110.0,1119015538_e8e796281e.jpg,كلب مرعب يركض عبر العشب,كلب مرعب بيجري في العشب
111.0,1119418776_58e4b93eac.jpg,كلب أسود وبني وأبيض يركض في حقل,كلب أسود وبني وأبيض بيجري في الحقل
112.0,1119463452_69d4eecd08.jpg,فتاة تسبح في بركة,بنت بتسبح في بركة
113.0,1121416483_c7902d0d49.jpg,طفل يقف على رأسه,طفل واقف على راسه
114.0,112178718_87270d9b4d.jpg,رجل يقف في الرمال مع لوح التزلج خلفه,راجل واقف في الرمال ومعاه لوح تزلج وراه
115.0,112243673_fd68255217.jpg,يتجول ثلاثة أشخاص على دراجات,تلاتة أشخاص بيتمشوا على دراجات
116.0,1122944218_8eb3607403.jpg,يحمل الطفل علم أسود صغير عليه قمر ونجم,الطفل شايل علم أسود صغير عليه قمر ونجمة
117.0,1124448967_2221af8dc5.jpg,ينام رجل نصف عاري على كرسيه في الهواء الطلق,راجل نايم نصه عريان على كرسيه في الهوا
118.0,1129704496_4a61441f2c.jpg,كلاب تسترد لعبة من الماء,كلاب بتجيب لعبة من الميه
119.0,1130017585_1a219257ac.jpg,شباب يحتفلون في الشوارع,شباب بيهنوا في الشوارع
120.0,1130369873_d80a1aa59c.jpg,كلب أبيض يرش في الماء بينما يحمل كرة في فمه,كلب أبيض برش في الميه وماسك كرة ببوقه
121.0,1130401779_8c30182e3e.jpg,اثنين من الكلاب البنية في الماء,اتنين كلاب بني في الميه
122.0,1131155939_b4b457b05e.jpg,كلب أسود يركض في المحيط بجانب كومة من الأعشاب البحرية,كلب أسود بيجري في البحر جنب كومة عشب بحر
123.0,1131340021_83f46b150a.jpg,صبي صغير يعمل بينما يرتدي الصنادل,ولاد صغير شغال ولبس صندل
124.0,1131800850_89c7ffd477.jpg,كلب أبيض وبني يقف خارجا في الثلوج,كلب أبيض وبني واقف بره في التلج
125.0,1131804997_177c3c0640.jpg,رجلان يجلسان على الأرض ويبحثان في حقائب الظهر,اتنين رجالة قاعدين على الأرض وبيفتشوا في شنطهم
126.0,1131932671_c8d17751b3.jpg,صبي يقفز على السرير,ولاد بيقفز على السرير
127.0,1132772170_600610c5df.jpg,طفل يقفز من الفراش إلى السرير,طفل بيقفز من الفراش على السرير
128.0,113678030_87a6a6e42e.jpg,يرتاح المتزلج على الجبال,متزلج على الجبال بيرتاح
129.0,1138784872_69ade3f2ab.jpg,فتاة تلبس الأخضر تسير في شارع المدينة,بنت لابسة أخضر ماشيه في شارع المدينة
130.0,114051287_dd85625a04.jpg,صبي يرتدي زي كرة القدم ويحمل حذاءه يخرج من السيارة,ولاد لابس لبس كورة وماسك جزمة بيخرج من العربية
131.0,1141718391_24164bf1b1.jpg,رجل وامرأة يعبران فوق جسر,راجل و ست بتعدوا فوق كوبري
132.0,1141739219_2c47195e4c.jpg,عائلة تجمعوا في سيارة مطلية,عيلة متجمعين في عربية ملونة
133.0,1142283988_6b227c5231.jpg,امرأة شابة تمتثل مع شخص يرتدي زيًا ورديًا,ست صغيرة بتتبع حد لابس لبس وردي
134.0,1142847777_2a0c1c2551.jpg,راكب دراجة في أحد شوارع المدينة,راكب دراجة في شارع المدينة
135.0,1143373711_2e90b7b799.jpg,متسابق الدراجات يعبر الشارع,متسابق دراجات بيعدي الشارع
136.0,1143882946_1898d2eeb9.jpg,سيدة ترتدي خوذة تركب دراجة,ست لابسة خوذة راكبة دراجة
137.0,1144288288_e5c9558b6a.jpg,امرأة مرتدية قميصا أبيض وشورتا أزرق ترتدي سماعات الرأس,ست لابسة قميص أبيض وشورت أزرق ولبسه سماعات
138.0,1148238960_f8cacec2fc.jpg,يقف راكبو الدراجات عند تقاطع,ركاب الدراجات واقفين عند تقاطع
139.0,1149179852_acad4d7300.jpg,رجل بلا قميص يرافق حصانًا يسحب عربة على طول طريق مرصوف,راجل من غير قميص ماسك حصان بيسحب عربية على طول طريق مرصوف
140.0,114949897_490ca7eaec.jpg,صبي يضرب الكرة إلى الشباك,ولاد بيضرب الكورة في الشباك
141.0,1151466868_3bc4d9580b.jpg,فتاة صغيرة تلعب في المياه الضحلة,بنت صغيرة بتلعب في المياه الضحلة
142.0,1153704539_542f7aa3a5.jpg,فتاة تلعب البوق في فرقة موسيقية,بنت بتلعب البوق في فرقة موسيقية
143.0,1155138244_859fd6e079.jpg,فتاة آسيوية في قبعة خضراء تقدم المشروبات على صينية,بنت أسيوية لابسة قبعة خضراء بتقدم المشروبات على صينية
144.0,115684808_cb01227802.jpg,يقوم ثلاثة رجال بإعداد زلاجة في سهل ثلجي,تلاتة رجالة بيجهزوا زلاجة في سهل تليجي
145.0,1159574340_99ba8c3c59.jpg,طفل يقفز في الماء مع حذاءه الرياضي,طفل بيقفز في الميه ولبس جزمة رياضة
146.0,1160034462_16b38174fe.jpg,رجل مسن في قبعة من القش يجلس على مقعد,راجل عجوز لابس قبعة قش قاعد على كرسي
147.0,1160441615_fe6b3c5277.jpg,تسير ثلاث فتيات تحت حاجز على طريق تحيط به الأشجار,تلات بنات ماشيين تحت حاجز على طريق محوطه شجر
148.0,1163282319_b729b24c46.jpg,فتاة ترتدي قبعة حمراء وشورتاً بألوان فاتحة  تجلس على صخرة في الخارج,بنت لابسة قبعة حمرا وشورت بألوان فاتحة قاعدة على صخرة بره
149.0,116409198_0fe0c94f3b.jpg,رجل يأكل قرب خيمة في الثلج,"راجل بياكل قريب خيمة في التلج 
"
150.0,1164131282_b30926f332.jpg,اثنين من الكلاب يتصارعان مع بعضها البعض,اتنين كلاب بيتخانقوا مع بعض
